Group,Solution,Complexity,Value
Group 1,1,1.2,7.3
Group 1,2,5.0,6.1
Group 1,3,3.8,5.6
Group 1,4,4.4,8.6
Group 1,5,6.8,8.3
Group 1,6,5.3,4.1
Group 1,7,8.3,9.0
Group 1,8,4.0,9.4
Group 1,9,2.4,2.4
Group 1,10,7.8,5.0
Group 1,11,6.6,2.9
Group 1,12,3.2,7.2
Group 1,13,7.4,9.9
Group 1,14,3.2,7.6
Group 1,15,6.7,7.9
Group 1,16,4.4,7.4
Group 2,1,0.9,5.7
Group 2,2,3.7,6.6
Group 2,3,1.7,2.2
Group 2,4,0.9,3.6
Group 2,5,7.9,6.4
Group 2,6,5.3,3.6
Group 2,7,5.0,9.4
Group 2,8,4.0,9.9
Group 2,9,9.7,8.8
Group 2,10,7.9,2.2
Group 2,11,7.0,2.9
Group 2,12,6.0,8.1
Group 2,13,6.6,10.0
Group 2,14,5.0,9.8
Group 2,15,5.8,9.8
Group 2,16,4.4,7.8
Group 3,1,2.2,6.0
Group 3,2,2.2,7.2
Group 3,3,0.6,2.9
Group 3,4,1.5,6.0
Group 3,5,8.5,6.0
Group 3,6,5.7,3.9
Group 3,7,5.4,8.4
Group 3,8,5.0,8.8
Group 3,9,6.4,6.0
Group 3,10,8.1,3.3
Group 3,11,6.8,2.5
Group 3,12,3.6,7.1
Group 3,13,5.0,9.9
Group 3,14,3.0,6.8
Group 3,15,5.4,9.6
Group 3,16,4.4,7.6
